User ID,Date,Songs
101,3/1/2019,Every Breath You Take
101,3/1/2019,Every Breath You Take
101,3/1/2019,Hey Jude
101,3/1/2019,Hey Jude
101,3/1/2019,Happy Birthday To You
101,3/1/2019,Happy Birthday To You
101,3/1/2019,Proud Mary
103,3/1/2019,Proud Mary
103,3/1/2019,(We're Gonna) Rock Around The Clock
103,3/1/2019,(We're Gonna) Rock Around The Clock
102,3/1/2019,Free Fallin'
102,3/1/2019,Free Fallin'
102,3/1/2019,I Want To Hold Your Hand
102,3/1/2019,I Want To Hold Your Hand
102,3/1/2019,Sweet Home Alabama
102,3/1/2019,Sweet Home Alabama
102,3/1/2019,Stand By Me
102,3/1/2019,Stand By Me
104,3/1/2019,Let It Be
104,3/1/2019,Let It Be
104,3/1/2019,Billie Jean
104,3/2/2019,Billie Jean
104,3/2/2019,The Twist
104,3/2/2019,The Twist
104,3/2/2019,Good Riddance
104,3/2/2019,Good Riddance
103,3/2/2019,We Are Family
103,3/2/2019,We Are Family
102,3/2/2019,We Are The Champions
102,3/2/2019,We Are The Champions
102,3/2/2019,I Will Survive
101,3/2/2019,I Will Survive
101,3/2/2019,Umbrella
101,3/2/2019,Umbrella
102,3/3/2019,Wonderwall
102,3/3/2019,Wonderwall
102,3/3/2019,Tears In Heaven
102,3/3/2019,Tears In Heaven
102,3/3/2019,Hotel California
102,3/3/2019,Hotel California
102,3/3/2019,Hound Dog
103,3/3/2019,Hound Dog
103,3/3/2019,Crazy In Love
103,3/3/2019,Crazy In Love
104,3/3/2019,Celebration
104,3/3/2019,Celebration
101,3/3/2019,Blue Suede Shoes
101,3/3/2019,Blue Suede Shoes
102,3/4/2019,Piano Man
102,3/4/2019,Piano Man
102,3/4/2019,Celebration
103,3/4/2019,Celebration
104,3/4/2019,What's Love Got To Do With It
103,3/4/2019,What's Love Got To Do With It
103,3/4/2019,I Will Survive
103,3/4/2019,Blue Suede Shoes
103,3/4/2019,Bridge Over Troubled Water
102,3/4/2019,I Will Survive
101,3/4/2019,Bridge Over Troubled Water
104,3/4/2019,Manzar hai yeh naya
104,3/4/2019,Behe Chala
103,3/4/2019,Manzar hai yeh naya
103,3/4/2019,Luka Chupi
102,3/4/2019,Jaga Jiteya
101,3/4/2019,Behe Chala
102,3/4/2019,Behe Chala
103,3/4/2019,Manzar hai yeh naya
104,3/4/2019,Luka Chupi
